TimeStamp (India Standard Time UTC+05:30),LAHT461-CommunicationState,LAHT461-WindSpeed
01/09/2019 00:00:07,,3.541333
01/09/2019 00:00:17,,3.381333
01/09/2019 00:00:37,,3.621333
01/09/2019 00:00:47,,3.498667
01/09/2019 00:00:57,,3.397333
01/09/2019 00:01:07,,3.738667
01/09/2019 00:01:17,,3.136
01/09/2019 00:01:27,,3.578667
01/09/2019 00:01:37,,3.386667
01/09/2019 00:01:47,,3.472
01/09/2019 00:01:56,,2.890666
01/09/2019 00:02:07,,3.344
01/09/2019 00:02:17,,3.819667
01/09/2019 00:02:27,,2.869333
01/09/2019 00:02:37,,3.365334
01/09/2019 00:02:47,,3.461333
01/09/2019 00:02:57,,3.536
01/09/2019 00:03:07,,3.418667
01/09/2019 00:03:17,,3.045333
01/09/2019 00:03:27,,2.837333
01/09/2019 00:03:37,,2.586667
01/09/2019 00:03:47,,2.901333
01/09/2019 00:03:57,,3.082667
01/09/2019 00:04:07,,2.778667
01/09/2019 00:04:17,,3.045333
01/09/2019 00:04:27,,2.709333
01/09/2019 00:04:37,,2.272
01/09/2019 00:04:47,,2.629333
01/09/2019 00:04:57,,2.832
01/09/2019 00:05:06,,3.2
01/09/2019 00:05:17,,2.944
01/09/2019 00:05:27,,3.194667
01/09/2019 00:05:37,,3.536
01/09/2019 00:05:47,,2.965333
01/09/2019 00:05:56,,3.269333
01/09/2019 00:06:07,,3.456
01/09/2019 00:06:27,,3.082667
01/09/2019 00:06:37,,3.072
01/09/2019 00:06:47,,2.544
01/09/2019 00:06:57,,3.376
01/09/2019 00:07:07,,3.130667
01/09/2019 00:07:17,,3.482667
01/09/2019 00:07:27,,3.445333
01/09/2019 00:07:37,,3.264
01/09/2019 00:07:47,,3.894333
01/09/2019 00:07:57,,3.248
01/09/2019 00:08:06,,3.408
01/09/2019 00:08:16,,3.626667
01/09/2019 00:08:27,,3.424
01/09/2019 00:08:37,,3.205333
01/09/2019 00:08:47,,3.002667
01/09/2019 00:08:57,,3.338667
01/09/2019 00:09:07,,4.065
01/09/2019 00:09:17,,3.557333
01/09/2019 00:09:27,,3.706667
01/09/2019 00:09:37,,3.936667
01/09/2019 00:09:47,,3.981333
01/09/2019 00:09:57,,3.477333
01/09/2019 00:10:07,,3.434667
01/09/2019 00:10:17,,3.754667
01/09/2019 00:10:27,,4.048333
01/09/2019 00:10:36,,3.922333
01/09/2019 00:10:46,,4.028666
01/09/2019 00:10:57,,4.12
01/09/2019 00:11:07,,4.259334
01/09/2019 00:11:17,,4.3
01/09/2019 00:11:27,,3.906667
01/09/2019 00:11:37,,3.977
01/09/2019 00:11:47,,4.039
01/09/2019 00:11:57,,4.2
01/09/2019 00:12:07,,4.395
01/09/2019 00:12:16,,3.850333
01/09/2019 00:12:26,,3.881
01/09/2019 00:12:37,,3.792
01/09/2019 00:12:47,,3.664
01/09/2019 00:12:57,,4.071
01/09/2019 00:13:07,,4.022
01/09/2019 00:13:17,,4.042667
01/09/2019 00:13:27,,4.24
01/09/2019 00:13:46,,4.345
01/09/2019 00:13:56,,3.829333
01/09/2019 00:14:06,,4.39
01/09/2019 00:14:16,,3.872
01/09/2019 00:14:26,,4.25
01/09/2019 00:14:37,,4.095
01/09/2019 00:14:47,,4.083667
01/09/2019 00:14:57,,3.845333
01/09/2019 00:15:07,,4.315
01/09/2019 00:15:18,,3.829333
01/09/2019 00:15:28,,4.032333
01/09/2019 00:15:38,,4.112667
01/09/2019 00:15:47,,3.824
01/09/2019 00:15:57,,4.044333
01/09/2019 00:16:07,,3.996667
01/09/2019 00:16:17,,3.018667
01/09/2019 00:16:27,,3.959333
01/09/2019 00:16:37,,3.557333
01/09/2019 00:16:47,,3.52
01/09/2019 00:16:57,,3.093333
01/09/2019 00:17:07,,3.408
01/09/2019 00:17:17,,3.312
01/09/2019 00:17:27,,3.429333
01/09/2019 00:17:37,,2.896
01/09/2019 00:17:47,,3.397333
01/09/2019 00:17:57,,3.664
01/09/2019 00:18:07,,3.397333
01/09/2019 00:18:17,,3.808333
01/09/2019 00:18:27,,3.424
01/09/2019 00:18:37,,3.514667
01/09/2019 00:18:47,,2.970667
01/09/2019 00:18:56,,3.349333
01/09/2019 00:19:07,,3.589333
01/09/2019 00:19:17,,3.706667
01/09/2019 00:19:28,,3.733333
01/09/2019 00:19:38,,3.918
01/09/2019 00:19:48,,3.765333
01/09/2019 00:19:57,,3.744
01/09/2019 00:20:07,,3.050667
01/09/2019 00:20:18,,3.333333
01/09/2019 00:20:27,,3.210667
01/09/2019 00:20:37,,3.621334
01/09/2019 00:20:47,,3.701333
01/09/2019 00:20:57,,3.770667
01/09/2019 00:21:07,,3.429333
01/09/2019 00:21:17,,3.594667
01/09/2019 00:21:27,,3.562667
01/09/2019 00:21:37,,3.983333
01/09/2019 00:21:47,,4.014667
01/09/2019 00:21:57,,3.981
01/09/2019 00:22:07,,3.482666
01/09/2019 00:22:17,,3.525333
01/09/2019 00:22:27,,3.413333
01/09/2019 00:22:37,,3.898334
01/09/2019 00:22:47,,3.786667
01/09/2019 00:22:57,,4.209
01/09/2019 00:23:07,,3.904
01/09/2019 00:23:17,,3.733333
01/09/2019 00:23:27,,3.52
01/09/2019 00:23:29,,3.818667
01/09/2019 00:24:46,,3.733334
01/09/2019 00:24:56,,3.990667
01/09/2019 00:25:06,,4.163333
01/09/2019 00:25:16,,3.785666
01/09/2019 00:25:26,,3.829333
01/09/2019 00:25:36,,4.125
01/09/2019 00:25:47,,3.664
01/09/2019 00:25:57,,3.269333
01/09/2019 00:26:07,,3.984
01/09/2019 00:26:17,,3.620333
01/09/2019 00:26:27,,3.904
01/09/2019 00:26:37,,3.872
01/09/2019 00:26:47,,3.929667
01/09/2019 00:26:57,,3.822
01/09/2019 00:27:07,,3.349333
01/09/2019 00:27:17,,3.831334
01/09/2019 00:27:27,,3.97
01/09/2019 00:27:36,,3.862667
01/09/2019 00:27:46,,3.829333
01/09/2019 00:27:56,,4.206667
01/09/2019 00:28:06,,3.621334
01/09/2019 00:28:16,,3.322667
01/09/2019 00:28:26,,3.778333
01/09/2019 00:28:36,,3.637333
01/09/2019 00:28:46,,3.536
01/09/2019 00:28:56,,3.482667
01/09/2019 00:29:06,,3.957333
01/09/2019 00:29:16,,3.781333
01/09/2019 00:29:26,,3.258667
01/09/2019 00:29:36,,3.669333
01/09/2019 00:29:47,,3.413333
01/09/2019 00:29:57,,3.477333
01/09/2019 00:30:07,,3.344
01/09/2019 00:30:17,,3.082667
01/09/2019 00:30:27,,3.2
01/09/2019 00:30:37,,3.290667
01/09/2019 00:30:47,,3.408
01/09/2019 00:30:58,,3.541333
01/09/2019 00:31:07,,4.216667
01/09/2019 00:31:17,,3.514667
01/09/2019 00:31:27,,3.653333
01/09/2019 00:31:37,,3.557333
01/09/2019 00:31:47,,3.546667
01/09/2019 00:31:57,,3.562667
01/09/2019 00:32:07,,3.397333
01/09/2019 00:32:17,,3.306667
01/09/2019 00:32:27,,3.594666
01/09/2019 00:32:37,,3.562667
01/09/2019 00:32:47,,3.52
01/09/2019 00:32:57,,3.242667
01/09/2019 00:33:07,,3.674667
01/09/2019 00:33:17,,3.285333
01/09/2019 00:33:27,,3.562666
01/09/2019 00:33:37,,3.381333
01/09/2019 00:33:47,,3.413333
01/09/2019 00:33:57,,3.162667
01/09/2019 00:34:06,,3.082667
01/09/2019 00:34:17,,3.397333
01/09/2019 00:34:26,,3.44
01/09/2019 00:34:36,,3.461333
01/09/2019 00:34:47,,3.642667
01/09/2019 00:34:57,,3.669333
01/09/2019 00:35:07,,3.696
01/09/2019 00:35:17,,3.552
01/09/2019 00:35:27,,3.610667
01/09/2019 00:35:37,,3.493333
01/09/2019 00:35:47,,3.706666
01/09/2019 00:35:57,,3.665667
01/09/2019 00:36:07,,3.834667
01/09/2019 00:36:17,,4.105
01/09/2019 00:36:27,,3.780333
01/09/2019 00:36:36,,3.972667
01/09/2019 00:36:46,,4.29
01/09/2019 00:36:56,,4.074667
01/09/2019 00:37:06,,4.005
01/09/2019 00:37:16,,4.13
01/09/2019 00:37:26,,4.235
01/09/2019 00:37:37,,4.026
01/09/2019 00:37:46,,4.465
01/09/2019 00:38:06,,4.365
01/09/2019 00:38:16,,4.41
01/09/2019 00:38:26,,4.234667
01/09/2019 00:38:36,,4.29
01/09/2019 00:38:46,,4.334667
01/09/2019 00:38:56,,4.85
01/09/2019 00:39:06,,4.635
01/09/2019 00:39:16,,4.43
01/09/2019 00:39:27,,4.74
01/09/2019 00:39:37,,4.575
01/09/2019 00:39:47,,4.89
01/09/2019 00:39:57,,4.43
01/09/2019 00:40:07,,4.32
01/09/2019 00:40:17,,4.76
01/09/2019 00:40:27,,4.385
01/09/2019 00:40:37,,4.42
01/09/2019 00:40:47,,4.081666
01/09/2019 00:40:57,,4.71
01/09/2019 00:41:07,,4.72
01/09/2019 00:41:27,,4.63
01/09/2019 00:41:37,,4.545
01/09/2019 00:41:47,,4.87
01/09/2019 00:41:57,,5.02
01/09/2019 00:42:07,,4.94
01/09/2019 00:42:17,,4.4
01/09/2019 00:42:26,,4.29
01/09/2019 00:42:37,,4.875
01/09/2019 00:42:47,,4.62
01/09/2019 00:42:57,,4.835
01/09/2019 00:43:07,,4.222333
01/09/2019 00:43:17,,4.14
01/09/2019 00:43:27,,4.36
01/09/2019 00:43:37,,4.59
01/09/2019 00:43:47,,4.465
01/09/2019 00:43:57,,4.4
01/09/2019 00:44:07,,4.198333
01/09/2019 00:44:17,,4.255
01/09/2019 00:44:27,,4.43
01/09/2019 00:44:37,,4.46
01/09/2019 00:44:46,,4.515
01/09/2019 00:44:56,,4.855
01/09/2019 00:45:06,,4.545
01/09/2019 00:45:16,,4.675
01/09/2019 00:45:26,,4.83
01/09/2019 00:45:36,,4.92
01/09/2019 00:45:46,,4.28
01/09/2019 00:45:56,,4.845
01/09/2019 00:46:07,,4.94
01/09/2019 00:46:28,,5.51
01/09/2019 00:46:38,,4.835
01/09/2019 00:46:57,,4.64
01/09/2019 00:47:07,,5.265
01/09/2019 00:47:17,,4.555
